product,version,source,total reviews,P&S reviews,non-P&S 0 reviews,non-P&S 1 reviews,non-P&S 2 reviews,non-P&S 3 reviews,non-P&S 4 reviews,non-P&S 5 reviews,P&S 0 reviews,P&S 1 reviews,P&S 2 reviews,P&S 3 reviews,P&S 4 reviews,P&S 5 reviews
NestOutdoorCam,,AMZ,2567,733,0,181,83,108,223,1239,0,112,68,69,102,382
GoogleHomeMini,1stGen,BB,15060,366,0,56,74,456,3214,10894,0,4,4,19,95,244
NestMini,2stGen,BB,1918,53,0,15,15,58,332,1445,0,3,2,6,8,34
EchoShow,8,BB,1893,138,0,13,9,55,248,1430,0,4,1,2,24,107
RingFloodlightCam,,AMZ,3679,809,0,325,100,163,321,1961,0,85,39,35,102,548
RingVideoDoorbell,2,AMZ,4347,1179,0,596,324,356,459,1433,0,216,104,94,171,594
RingStickUpCam,,BB,1532,289,0,27,21,46,211,938,0,8,6,12,38,225
EchoDot,3Gen,BB,1702,65,0,1,1,3,136,1496,0,0,0,0,11,54
RingVideoDoorbell,Pro,AMZ,211,80,0,73,14,10,15,19,0,29,13,7,9,22
RingVideoDoorbell,Pro,BB,4375,830,0,70,61,174,798,2442,0,17,16,27,155,615
ArloPro,,BB,220,47,0,5,4,12,47,105,0,2,2,4,9,30
NestThermostat,,BB,8761,509,0,55,24,95,905,7173,0,8,2,7,64,428
Homepod,,BB,4065,146,0,60,53,150,608,3048,0,5,2,11,32,96
EchoFlex,,AMZ,4468,260,0,197,255,521,768,2467,0,20,12,33,57,138
EchoFlex,,BB,340,10,0,3,8,29,85,205,0,0,0,1,2,7
RingVideoDoorbell,3Plus,BB,397,83,0,8,6,19,58,223,0,2,3,4,10,64
EchoShow,,AMZ,4394,450,0,388,258,394,546,2358,0,74,40,48,77,211
NestVideoDoorbell,,BB,2540,395,0,20,16,64,300,1745,0,5,3,11,61,315
RingVideoDoorbell,3,BB,706,125,0,10,8,22,97,444,0,2,1,4,22,96
NestHubMax,,BB,917,85,0,7,3,25,134,663,0,0,0,2,18,65
EchoShow,8,AMZ,4415,526,0,249,171,374,586,2509,0,55,33,62,86,290
RingSpotlightCam,,BB,2991,600,0,31,36,160,527,1637,0,11,7,26,112,444
RingVideoDoorbell,Gen1,AMZ,4354,1308,0,710,349,414,474,1099,0,237,127,126,212,606
RingIndoorCam,,AMZ,2263,391,0,233,71,113,211,1244,0,47,30,21,55,238
FacebookPortal,Plus,BB,241,10,0,2,0,14,32,183,0,1,0,1,2,6
NestIndoorCam,,BB,3225,766,0,17,14,71,494,1863,0,8,3,27,181,547
NestWifi,2Pack,BB,1346,53,0,20,18,36,178,1041,0,5,1,1,7,39
NestWifi,,AMZ,242,22,0,43,11,16,18,132,0,2,2,1,1,16
NestWifi,,BB,430,17,0,4,4,16,42,347,0,0,0,1,2,14
NestIndoorCam,,AMZ,3545,969,0,280,142,132,301,1721,0,163,78,77,142,509
EchoStudio,,AMZ,3185,160,0,138,139,281,389,2078,0,15,16,22,20,87
NestWifi,3Pack,BB,1328,71,0,32,15,25,149,1036,0,3,0,3,8,57
EchoDot,,AMZ,4499,706,0,340,232,387,651,2183,0,91,56,78,123,358
FacebookPortal,10,BB,232,14,0,2,1,7,32,176,0,1,0,0,3,10
RingVideoDoorbell,,AMZ,1219,216,0,179,64,67,103,590,0,36,18,15,15,132
,,BB,4,0,0,0,0,0,0,4,0,0,0,0,0,0
NestThermostat,,AMZ,4319,422,0,546,152,161,326,2712,0,89,24,20,38,251
FacebookPortal,,AMZ,653,55,0,64,35,42,59,398,0,9,4,10,7,25
WyzeCamPan,,AMZ,4332,1150,0,526,251,282,405,1718,0,144,102,109,150,645
RingStickUpCam,,AMZ,1630,303,0,253,105,143,165,661,0,59,30,23,45,146
FacebookPortal,8,BB,186,11,0,5,2,13,26,129,0,1,0,0,5,5
NanitPlus,,AMZ,407,162,0,22,5,10,28,180,0,15,7,4,18,118
ArloPro,,AMZ,4178,1167,0,358,147,166,643,1697,0,126,54,60,245,682
EchoShow,5,BB,6079,377,0,40,39,207,971,4445,0,1,7,14,73,282
NestOutdoorCam,,BB,2814,625,0,21,16,70,431,1651,0,9,5,17,130,464
RingFloodlightCam,,BB,3604,796,0,28,18,80,418,2264,0,7,5,22,122,640
